      n, heap_cmp, heap_swaps, heap_time, quick_cmp, quick_swaps, quick_time
      0,        0,          0,        21,         0,           0,          6
    100,     1022,        576,      4226,       995,         225,       3941
    200,     2457,       1371,     10193,      2289,         477,       7707
    300,     4015,       2223,     11624,      3833,         755,      10331
    400,     5721,       3122,     17060,      5299,        1070,      13783
    500,     7430,       4044,     22738,      6866,        1371,      21630
    600,     9240,       5005,     28198,      8498,        1692,      25186
    700,    11097,       6010,     34011,     10692,        2021,      21772
    800,    12999,       7017,     34372,     11672,        2378,      35776
    900,    14921,       8059,     38857,     13996,        2664,      28347
   1000,    16840,       9087,     40874,     15503,        3010,      35921
   1100,    18853,      10155,     51382,     17118,        3366,      46470
   1200,    20850,      11215,     71339,     18810,        3684,      49410
   1300,    22886,      12251,     85612,     20939,        4003,      69530
   1400,    24992,      13406,     60169,     23440,        4337,      51816
   1500,    27077,      14501,    103211,     24561,        4707,      72273
   1600,    29173,      15631,    120893,     26050,        5079,      77624
   1700,    31262,      16729,    112442,     29120,        5442,      95501
   1800,    33445,      17885,    105868,     30999,        5716,      68395
   1900,    35523,      18997,     97284,     34816,        6038,      79918
   2000,    37662,      20093,    128639,     33367,        6514,      80171
   2100,    39818,      21290,    115710,     37407,        6799,      97526
   2200,    42159,      22503,    110376,     36727,        7286,      80545
   2300,    44291,      23632,    166108,     40191,        7591,     116782
   2400,    46620,      24872,    121633,     41758,        7850,      95252
   2500,    48831,      26038,    145388,     43101,        8290,     104903
   2600,    51098,      27262,    153605,     45847,        8686,     112058
   2700,    53287,      28406,    156460,     47971,        8971,     120674
   2800,    55587,      29616,    171904,     49190,        9444,     126507
   2900,    57883,      30787,    193237,     51936,        9788,     116009
   3000,    60236,      32062,    269205,     53872,       10102,     161658
   3100,    62449,      33210,    176535,     57995,       10372,     122721
   3200,    64817,      34455,    207254,     57330,       10962,     133157
   3300,    67109,      35693,    171358,     60236,       11310,     128113
   3400,    69399,      36896,    216444,     64368,       11636,     175728
   3500,    71773,      38173,    220689,     64074,       12051,     172846
   3600,    74047,      39343,    253093,     65484,       12344,     169763
   3700,    76414,      40593,    238110,     67699,       12799,     158640
   3800,    78702,      41833,    204104,     72470,       13079,     221824
   3900,    81056,      43086,    239102,     74474,       13418,     206863
   4000,    83411,      44292,    249630,     74072,       14015,     174353
   4100,    85718,      45540,    261627,     77064,       14285,     176125
   4200,    88136,      46790,    290456,     76969,       14789,     246559
   4300,    90492,      48063,    245263,     80130,       15137,     209982
   4400,    92987,      49398,    328087,     82025,       15503,     222886
   4500,    95417,      50664,    321351,     89692,       15594,     208292
   4600,    97761,      51893,    305357,     89068,       16124,     239734
   4700,   100170,      53105,    356482,     88357,       16577,     251810
   4800,   102692,      54437,    287801,     89877,       17077,     251154
   4900,   105175,      55779,    311142,     92777,       17370,     226329
   5000,   107634,      57085,    410934,     95314,       17823,     210949
   5100,   110048,      58377,    345575,    100335,       17938,     221957
   5200,   112542,      59644,    290352,    100894,       18459,     256744
   5300,   115055,      60964,    352379,    100560,       19124,     251312
   5400,   117464,      62254,    377789,    105483,       19326,     301800
   5500,   119960,      63563,    319665,    105126,       19762,     277087
   5600,   122344,      64783,    478977,    108328,       20082,     331071
   5700,   124877,      66084,    376912,    109542,       20573,     324116
   5800,   127367,      67410,    399655,    113309,       20856,     331110
   5900,   129891,      68738,    408031,    115366,       21176,     307891
   6000,   132429,      70114,    409786,    118339,       21645,     326098
   6100,   134918,      71407,    394448,    121596,       22117,     291904
   6200,   137401,      72682,    392814,    124502,       22423,     293264
   6300,   139776,      73946,    481457,    128379,       22742,     302875
   6400,   142456,      75408,    534511,    128016,       23001,     315013
   6500,         ,           ,          ,    127917,       23631,     318753
   6600,         ,           ,          ,    139798,       23737,     373943
   6700,         ,           ,          ,    131726,       24461,     311033
   6800,         ,           ,          ,    133813,       24890,     312446
   6900,         ,           ,          ,    137294,       25259,     370399
   7000,         ,           ,          ,    143508,       25351,     439740
   7100,         ,           ,          ,    139282,       26270,     366267
   7200,         ,           ,          ,    147123,       26331,     408874
   7300,         ,           ,          ,    147608,       26857,     361706
   7400,         ,           ,          ,    150354,       27056,     446260
   7500,         ,           ,          ,    154216,       27615,     444366
   7600,         ,           ,          ,    158670,       27851,     419741
   7700,         ,           ,          ,    158716,       28394,     428645
   7800,         ,           ,          ,    160639,       28718,     403527
   7900,         ,           ,          ,    164239,       29135,     380882
   8000,         ,           ,          ,    162926,       29544,     465843
   8100,         ,           ,          ,    161544,       30269,     365422
   8200,         ,           ,          ,    171167,       30219,     436540
   8300,         ,           ,          ,    168567,       31073,     457556
   8400,         ,           ,          ,    169887,       31293,     441690
   8500,         ,           ,          ,    170736,       31898,     405128
   8600,         ,           ,          ,    178728,       31731,     452682
   8700,         ,           ,          ,    180575,       32423,     494612
   8800,         ,           ,          ,    185869,       32738,     452472
   8900,         ,           ,          ,    183624,       33350,     490416
   9000,         ,           ,          ,    189074,       33448,     474663
   9100,         ,           ,          ,    187642,       34136,     466624
   9200,         ,           ,          ,    189208,       34632,     454691
   9300,         ,           ,          ,    190529,       35159,     493249
